formulation,target_column,seed,model,n_classes,n_train,n_test,runtime_seconds,accuracy,balanced_accuracy,f1,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc,logloss
binary_0_vs_1_4,binary_0_vs_1_4,42,LogisticRegression_balanced,2,736,184,0.02000284194946289,0.8369565217391305,0.8362027737924438,0.8514851485148515,0.8353811284742931,0.8371315654352235,0.8347619047619048,0.8362027737924438,0.894906743185079,0.40992554385973656
binary_0_vs_1_4,binary_0_vs_1_4,42,RandomForest_balanced,2,736,184,0.969480037689209,0.8369565217391305,0.8326159732185557,0.8557692307692307,0.8341346153846154,0.8364862040133779,0.8364779874213837,0.8326159732185557,0.9262314681970348,0.35732345840776863
binary_0_vs_1_4,binary_0_vs_1_4,42,ExtraTrees_balanced,2,736,184,0.7652599811553955,0.8478260869565217,0.8460066953610712,0.8627450980392157,0.8460066953610712,0.8478260869565217,0.8460066953610712,0.8460066953610712,0.9332855093256816,0.3535606365341252
binary_0_vs_1_4,binary_0_vs_1_4,42,XGBoost_fixed,2,736,184,0.10228896141052246,0.8695652173913043,0.8644189383070301,0.8857142857142857,0.8669077757685353,0.8689519616322038,0.8713450292397661,0.8644189383070301,0.9063845050215208,0.3826975964614974
binary_0_vs_1_4,binary_0_vs_1_4,42,LightGBM_fixed,2,736,184,0.19167685508728027,0.8369565217391305,0.8326159732185557,0.8557692307692307,0.8341346153846154,0.8364862040133779,0.8364779874213837,0.8326159732185557,0.8831898613103778,0.5413490969457873
binary_0_vs_1_4,binary_0_vs_1_4,7,LogisticRegression_balanced,2,736,184,0.010979175567626953,0.7989130434782609,0.7971066475370636,0.8177339901477833,0.7967457829526795,0.7990271098217125,0.7964332577836097,0.7971066475370636,0.8553323768531802,0.47723762981952317
binary_0_vs_1_4,binary_0_vs_1_4,7,RandomForest_balanced,2,736,184,1.0926156044006348,0.7880434782608695,0.7813247250119559,0.8151658767772512,0.7833791167325747,0.7868341993461264,0.7878287461773701,0.7813247250119559,0.8644189383070301,0.4474187767802795
binary_0_vs_1_4,binary_0_vs_1_4,7,ExtraTrees_balanced,2,736,184,0.9098176956176758,0.7663043478260869,0.760521281683405,0.7942583732057417,0.7619090608167073,0.765425290424211,0.7644738439130963,0.760521281683405,0.8663318986131037,0.4439479914898521
binary_0_vs_1_4,binary_0_vs_1_4,7,XGBoost_fixed,2,736,184,0.15146231651306152,0.8097826086956522,0.8009325681492109,0.8372093023255814,0.8042255661954705,0.8078107549052652,0.8137230462420542,0.8009325681492109,0.8627450980392157,0.46066603787791194
binary_0_vs_1_4,binary_0_vs_1_4,7,LightGBM_fixed,2,736,184,0.7806718349456787,0.7880434782608695,0.7813247250119559,0.8151658767772512,0.7833791167325747,0.7868341993461264,0.7878287461773701,0.7813247250119559,0.8485174557627929,0.6369216992972718
