formulation,model,n_runs,Accuracy (%),Balanced Accuracy (%),Macro-F1 (%),Weighted-F1 (%),ROC-AUC (%),LogLoss,Runtime (s)
binary_0_vs_1_4,ExtraTrees_balanced,5,80.11 ± 3.45,79.95 ± 3.55,79.89 ± 3.52,80.11 ± 3.47,89.27 ± 2.63,0.41 ± 0.04,0.81 ± 0.06
binary_0_vs_1_4,LightGBM_fixed,5,78.91 ± 4.50,78.68 ± 4.25,78.66 ± 4.43,78.90 ± 4.46,86.06 ± 1.84,0.63 ± 0.08,0.30 ± 0.27
binary_0_vs_1_4,LogisticRegression_balanced,5,81.41 ± 2.08,81.32 ± 2.05,81.24 ± 2.09,81.43 ± 2.07,87.71 ± 1.93,0.44 ± 0.03,0.01 ± 0.00
binary_0_vs_1_4,RandomForest_balanced,5,81.20 ± 1.91,80.91 ± 1.98,80.94 ± 1.96,81.17 ± 1.93,88.84 ± 2.55,0.42 ± 0.04,1.00 ± 0.05
binary_0_vs_1_4,XGBoost_fixed,5,81.85 ± 3.70,81.50 ± 3.57,81.57 ± 3.69,81.81 ± 3.67,88.33 ± 2.30,0.43 ± 0.05,0.10 ± 0.03
multiclass_5class_0_1_2_3_4,ExtraTrees_balanced,5,54.89 ± 1.92,37.05 ± 2.82,37.23 ± 3.47,54.81 ± 2.12,79.42 ± 1.53,1.05 ± 0.03,0.85 ± 0.08
multiclass_5class_0_1_2_3_4,LightGBM_fixed,5,55.43 ± 3.71,37.08 ± 4.41,36.96 ± 4.58,54.88 ± 3.76,77.60 ± 1.64,1.82 ± 0.19,1.18 ± 0.73
multiclass_5class_0_1_2_3_4,LogisticRegression_balanced,5,51.41 ± 4.13,42.49 ± 5.72,38.15 ± 4.28,52.71 ± 4.04,76.55 ± 2.49,1.20 ± 0.05,0.03 ± 0.01
multiclass_5class_0_1_2_3_4,RandomForest_balanced,5,57.72 ± 2.91,39.22 ± 2.01,39.63 ± 2.19,56.96 ± 3.07,80.53 ± 1.47,1.02 ± 0.03,1.09 ± 0.08
multiclass_5class_0_1_2_3_4,XGBoost_fixed,5,57.61 ± 3.42,36.32 ± 3.87,36.28 ± 4.38,55.60 ± 3.71,79.31 ± 1.26,1.07 ± 0.05,0.41 ± 0.12
ordinal_3class_0_vs_1_2_vs_3_4,ExtraTrees_balanced,5,64.35 ± 3.68,58.52 ± 5.52,58.08 ± 5.07,64.34 ± 3.63,81.71 ± 2.83,0.74 ± 0.04,0.83 ± 0.08
ordinal_3class_0_vs_1_2_vs_3_4,LightGBM_fixed,5,65.22 ± 1.44,59.15 ± 1.43,59.33 ± 1.45,65.07 ± 1.53,79.80 ± 2.41,1.13 ± 0.18,0.73 ± 0.46
ordinal_3class_0_vs_1_2_vs_3_4,LogisticRegression_balanced,5,60.87 ± 2.52,59.39 ± 2.72,56.79 ± 1.90,61.26 ± 2.36,79.72 ± 2.60,0.81 ± 0.05,0.02 ± 0.00
ordinal_3class_0_vs_1_2_vs_3_4,RandomForest_balanced,5,65.76 ± 1.54,58.29 ± 1.25,59.00 ± 1.30,65.21 ± 1.38,81.38 ± 2.09,0.73 ± 0.04,1.00 ± 0.01
ordinal_3class_0_vs_1_2_vs_3_4,XGBoost_fixed,5,66.41 ± 2.67,57.71 ± 1.70,58.66 ± 1.77,65.31 ± 2.34,81.24 ± 2.66,0.75 ± 0.07,0.24 ± 0.06
